City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,81.25,clear sky,-30.1811,-50.2056,Hotel Castelo
9,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
10,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
19,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
20,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
24,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
25,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
29,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
37,Cabedelo,BR,82.62,few clouds,-6.9811,-34.8339,Hotel Pigalle
41,Honiara,SB,78.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
48,Atar,MR,80.96,clear sky,20.5169,-13.0499,Oumou Elghoura
49,Castro,BR,77.86,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
51,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
61,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
62,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
63,Port Barton,PH,78.53,overcast clouds,10.4756,119.2472,Camping palawan
78,Santo Angelo,BR,85.91,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
80,Port Elizabeth,ZA,78.1,light rain,-33.918,25.5701,39 On Nile Guest House
82,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
83,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Trelew,AR,80.55,clear sky,-43.249,-65.3051,Hotel Touring Club
92,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
94,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
96,Alofi,NU,80.44,overcast clouds,-19.0595,-169.9187,Taloa Heights
98,Luanda,AO,76.46,overcast clouds,-8.8368,13.2343,Hotel Fórum
100,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
105,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
108,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
110,Vasai,IN,75.29,clear sky,19.47,72.8,Go Firne
113,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
121,Palmares Do Sul,BR,80.49,clear sky,-30.2578,-50.5097,Hotel Campos Dourados.
122,Port Blair,IN,78.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
