City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
1,Valparaiso,CL,-33.0393,-71.6273,70.52,70,3,9.6,clear sky
2,Nelson Bay,AU,-32.7167,152.15,71.01,67,76,3.0,broken clouds
3,Ingraj Bazar,IN,25.0,88.15,60.26,64,5,1.52,clear sky
4,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
5,Lexington,US,37.9887,-84.4777,45.34,52,0,11.5,clear sky
6,Muroto,JP,33.2833,134.15,40.28,55,22,9.75,few clouds
7,Rucphen,NL,51.5317,4.5583,44.64,86,75,5.99,broken clouds
8,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,58,8.01,broken clouds
11,Belen,TR,36.4891,36.2233,41.14,100,40,4.61,scattered clouds
12,Sao Filipe,CV,14.8961,-24.4956,73.81,71,0,10.89,clear sky
13,Thompson,CA,55.7435,-97.8558,-5.15,81,6,6.85,clear sky
14,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
15,Mataura,NZ,-46.1927,168.8643,43.48,90,10,0.92,clear sky
16,Khandyga,RU,62.6667,135.6,-39.08,99,100,2.35,overcast clouds
17,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,11.5,clear sky
18,Nome,US,64.5011,-165.4064,-0.33,55,0,5.75,clear sky
19,Olinda,BR,-8.0089,-34.8553,85.73,54,40,9.22,scattered clouds
20,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
21,Andenes,NO,69.3143,16.1194,31.98,74,75,10.36,broken clouds
22,Esperance,AU,-33.8667,121.9,62.44,71,100,23.47,overcast clouds
23,San Patricio,US,28.017,-97.5169,64.38,60,6,5.26,clear sky
24,Atuona,PF,-9.8,-139.0333,78.78,72,0,19.04,clear sky
25,Hambantota,LK,6.1241,81.1185,79.14,83,40,8.05,scattered clouds
26,Tuatapere,NZ,-46.1333,167.6833,43.83,84,5,3.0,clear sky
27,Mar Del Plata,AR,-38.0023,-57.5575,64.42,90,75,24.0,mist
28,Ushuaia,AR,-54.8,-68.3,55.81,81,100,8.32,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,75.02,82,47,26.22,scattered clouds
30,Barrow,US,71.2906,-156.7887,-23.78,69,20,13.8,haze
31,Mvuma,ZW,-19.2792,30.5283,63.43,79,15,10.31,few clouds
32,Vardo,NO,70.3705,31.1107,26.58,74,75,17.27,broken clouds
33,Broome,US,42.2506,-75.833,30.02,63,0,4.0,clear sky
34,Aklavik,CA,68.2191,-135.0107,-18.4,76,75,17.27,broken clouds
35,Tiksi,RU,71.6872,128.8694,-14.96,98,100,3.71,overcast clouds
36,Khani,GE,41.9563,42.9566,24.37,97,100,1.9,snow
37,Cabedelo,BR,-6.9811,-34.8339,82.62,62,20,10.45,few clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,-17.39,100,100,10.63,overcast clouds
39,Ilulissat,GL,69.2167,-51.1,1.42,60,100,5.75,overcast clouds
40,Moranbah,AU,-22.0016,148.0466,67.84,76,1,14.38,clear sky
41,Honiara,SB,-9.4333,159.95,78.49,88,100,3.51,overcast clouds
42,Kichera,RU,55.9375,110.0997,7.65,96,100,1.88,light snow
43,Povenets,RU,62.8487,34.8262,14.27,94,100,11.54,overcast clouds
