City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,59.81,58,9,11.59,clear sky
1,Bredasdorp,ZA,-34.5322,20.0403,68.29,96,51,6.46,broken clouds
2,Male,MV,4.1748,73.5089,81.3,65,100,7.58,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,79.43,68,100,13.71,overcast clouds
4,Albany,US,42.6001,-73.9662,10.51,71,5,5.97,clear sky
5,Kapaa,US,22.0752,-159.319,78.78,71,0,4.0,clear sky
6,Hermanus,ZA,-34.4187,19.2345,71.91,89,64,9.89,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,70.2,88,49,25.12,scattered clouds
8,Cameta,BR,-2.2444,-49.4958,75.16,95,100,3.67,overcast clouds
9,Gushikawa,JP,26.3544,127.8686,62.6,51,40,10.36,scattered clouds
10,East London,ZA,-33.0153,27.9116,69.66,89,93,16.06,light rain
11,Peterhead,GB,57.5058,-1.7981,35.56,84,90,18.07,light snow
12,Iqaluit,CA,63.7506,-68.5145,-39.05,99,100,2.86,overcast clouds
13,Xam Nua,LA,20.4197,104.0439,55.09,94,99,2.71,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.83,74,93,17.11,overcast clouds
15,Provideniya,RU,64.3833,-173.3,-2.67,78,0,12.41,clear sky
16,La Ronge,CA,55.1001,-105.2842,-3.48,99,96,1.3,overcast clouds
17,Cidreira,BR,-30.1811,-50.2056,73.71,89,86,4.92,overcast clouds
18,Danville,US,36.586,-79.395,30.2,68,0,3.44,clear sky
19,Pangnirtung,CA,66.1451,-65.7125,-33.32,95,100,5.57,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,55.11,58,40,8.05,scattered clouds
21,Ponta Do Sol,PT,32.6667,-17.1,66.13,50,53,12.95,broken clouds
22,Lompoc,US,34.6391,-120.4579,58.42,72,0,0.0,clear sky
23,Kahului,US,20.8947,-156.47,78.82,71,0,16.11,clear sky
24,Miranda De Ebro,ES,42.6865,-2.947,33.22,91,6,2.59,clear sky
25,Ancud,CL,-41.8697,-73.8203,59.23,86,83,2.59,broken clouds
26,Vaini,TO,-21.2,-175.2,78.96,89,100,14.97,overcast clouds
27,Kholm-Zhirkovskiy,RU,55.5189,33.4731,19.17,97,100,4.45,snow
28,Poum,NC,-20.2333,164.0167,79.54,89,100,14.05,overcast clouds
29,Abnub,EG,27.2696,31.1511,47.95,66,0,5.39,clear sky
30,Yaring,TH,6.8662,101.3689,82.29,71,90,16.04,overcast clouds
31,Sesheke,ZM,-17.4759,24.2968,65.46,97,99,7.09,overcast clouds
32,Jiangyou,CN,31.7667,104.7167,39.42,97,100,3.31,overcast clouds
33,Deer Lake,CA,49.1667,-57.4316,12.06,92,100,0.0,overcast clouds
34,Chuy,UY,-33.6971,-53.4616,63.03,92,21,8.32,few clouds
35,Cherskiy,RU,68.75,161.3,-28.55,98,24,0.98,few clouds
36,Juneau,US,58.3019,-134.4197,37.85,96,100,5.99,moderate rain
37,Hilo,US,19.7297,-155.09,76.73,75,20,6.91,few clouds
38,Cape Town,ZA,-33.9258,18.4232,66.34,74,80,1.01,broken clouds
39,Nouadhibou,MR,20.931,-17.0347,64.69,84,0,17.72,clear sky
40,Vostok,RU,46.4856,135.8833,1.44,85,100,5.26,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,36,4.0,scattered clouds
42,Busselton,AU,-33.65,115.3333,74.05,63,81,14.0,broken clouds
43,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,87,80,14.05,broken clouds
44,Rawah,IQ,34.4816,41.9093,45.55,62,10,7.05,clear sky
45,Ishikari,JP,43.2397,141.3539,26.65,75,100,18.21,light snow
46,Kaitangata,NZ,-46.2817,169.8464,55.92,57,45,8.43,scattered clouds
47,Saint George,US,37.1041,-113.5841,46.8,27,0,4.0,clear sky
48,Kalashnikovo,RU,57.2824,35.2262,14.58,96,100,5.91,light snow
49,Katsuura,JP,35.1333,140.3,41.14,30,31,8.37,scattered clouds
50,Ulagan,RU,50.6321,87.9563,-3.5,78,30,3.02,scattered clouds
51,Atuona,PF,-9.8,-139.0333,78.69,78,38,20.87,light rain
52,Santiago De Cao,PE,-7.9589,-79.2392,68.13,83,54,8.05,fog
53,Tiznit,MA,29.5833,-9.5,59.95,24,67,4.61,broken clouds
54,Narsaq,GL,60.9167,-46.05,1.62,71,100,5.37,overcast clouds
55,Alora,ES,36.8236,-4.7058,55.72,92,19,2.17,few clouds
56,Najran,SA,17.4924,44.1277,58.42,59,0,5.28,clear sky
57,Quatre Cocos,MU,-20.2078,57.7625,81.09,80,100,14.18,overcast clouds
58,Nikolskoye,RU,59.7035,30.7861,27.72,97,100,4.85,overcast clouds
59,Barrow,US,71.2906,-156.7887,-20.18,69,0,10.36,clear sky
60,Huty,UA,50.1332,35.3439,29.3,96,99,10.49,overcast clouds
61,Meulaboh,ID,4.1363,96.1285,81.34,70,92,5.37,overcast clouds
62,Gazli,UZ,40.1333,63.45,41.92,90,100,19.3,light rain
63,Saldanha,ZA,-33.0117,17.9442,67.12,71,52,5.75,broken clouds
64,Tura,IN,25.5198,90.2201,57.34,72,0,2.46,clear sky
65,Arraial Do Cabo,BR,-22.9661,-42.0278,76.41,87,69,26.08,broken clouds
66,Cabo San Lucas,MX,22.8909,-109.9124,66.51,58,0,1.99,clear sky
67,Mushie,CD,-3.0167,16.9,72.82,94,100,2.44,overcast clouds
68,Kloulklubed,PW,7.0419,134.2556,84.7,78,52,21.88,broken clouds
69,Batagay,RU,67.6333,134.6333,-34.91,97,100,0.4,overcast clouds
70,Ilulissat,GL,69.2167,-51.1,3.22,51,100,13.8,overcast clouds
71,Cairns,AU,-16.9167,145.7667,89.06,82,100,6.91,overcast clouds
72,Severodvinsk,RU,64.5635,39.8302,3.31,88,63,13.62,broken clouds
73,Mackay,AU,-21.15,149.2,83.68,72,68,20.96,broken clouds
74,Thompson,CA,55.7435,-97.8558,-17.54,98,100,2.93,overcast clouds
75,Benavente,ES,42.0025,-5.6783,34.88,84,1,4.97,clear sky
76,Tiksi,RU,71.6872,128.8694,-22.81,98,99,6.06,overcast clouds
77,Puerto Escondido,MX,15.85,-97.0667,77.83,83,0,0.0,clear sky
78,Dingle,PH,10.9995,122.6711,82.44,68,99,20.09,overcast clouds
79,Kristinehamn,SE,59.3098,14.1081,39.18,81,100,19.69,overcast clouds
80,Douglas,US,41.3,-96.167,44.47,40,0,6.91,clear sky
81,Hithadhoo,MV,-0.6,73.0833,81.81,73,2,8.41,clear sky
82,Oranjestad,AW,12.524,-70.027,79.09,75,0,18.28,clear sky
83,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds
84,Mataura,NZ,-46.1927,168.8643,59.49,37,14,4.45,few clouds
85,Teya,RU,60.3778,92.6267,3.87,99,100,2.84,overcast clouds
86,Daru,PG,-9.0763,143.2092,89.78,58,75,7.4,broken clouds
87,Constitucion,CL,-35.3333,-72.4167,60.85,69,0,9.51,clear sky
88,Yellowknife,CA,62.456,-114.3525,-15.59,83,0,9.22,clear sky
89,Kruisfontein,ZA,-34.0033,24.7314,65.88,94,24,9.55,few clouds
90,Dikson,RU,73.5069,80.5464,-21.37,100,98,4.21,overcast clouds
91,Luganville,VU,-15.5333,167.1667,84.7,73,100,5.21,moderate rain
92,Bilibino,RU,68.0546,166.4372,-12.26,84,15,4.09,few clouds
93,Buala,SB,-8.145,159.5921,86.14,72,99,8.99,light rain
94,Sibolga,ID,1.7427,98.7792,80.11,80,100,2.51,overcast clouds
95,Baijiantan,CN,45.6333,85.1833,5.18,83,6,2.37,clear sky
96,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,0,9.22,clear sky
97,Vrangel,RU,42.7297,133.0839,15.1,48,2,16.33,clear sky
98,Itarema,BR,-2.9248,-39.9167,77.88,87,6,9.24,clear sky
99,Karangasem,ID,-8.45,115.6167,85.14,70,11,4.36,few clouds
100,Montego Bay,JM,18.4712,-77.9188,71.78,70,6,8.48,clear sky
101,Caravelas,BR,-17.7125,-39.2481,75.09,90,15,4.94,few clouds
102,Carnarvon,AU,-24.8667,113.6333,82.08,70,6,15.08,clear sky
103,New Norfolk,AU,-42.7826,147.0587,75.65,35,0,1.99,clear sky
104,Abakaliki,NG,6.3163,8.1169,73.17,44,13,1.97,few clouds
105,Airai,TL,-8.9266,125.4092,73.54,65,62,2.8,broken clouds
106,Pendleton,US,45.6721,-118.7886,46.9,79,0,5.75,clear sky
107,Mincivan,AZ,39.0294,46.7185,33.13,56,2,4.27,clear sky
108,Cumana,VE,10.4635,-64.1775,66.29,87,14,8.95,few clouds
109,Palmer,US,42.1584,-72.3287,17.15,92,7,3.29,clear sky
110,Georgetown,MY,5.4112,100.3354,85.93,70,20,1.99,few clouds
111,Mount Isa,AU,-20.7333,139.5,89.37,33,75,9.22,broken clouds
112,Anadyr,RU,64.75,177.4833,-5.3,71,0,2.24,clear sky
113,Mestia,GE,43.0458,42.7278,2.41,69,21,4.43,few clouds
114,Chokurdakh,RU,70.6333,147.9167,-31.79,100,100,2.15,overcast clouds
115,Hobart,AU,-42.8794,147.3294,76.01,46,20,1.01,few clouds
116,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,12.66,broken clouds
117,Thomaston,US,32.8882,-84.3266,38.05,69,0,1.01,clear sky
118,Mar Del Plata,AR,-38.0023,-57.5575,61.88,76,100,5.99,overcast clouds
119,Urucui,BR,-7.2294,-44.5561,74.43,90,3,2.01,clear sky
120,Shubarshi,KZ,48.5872,57.1869,25.63,97,100,1.45,light snow
121,Lavrentiya,RU,65.5833,-171.0,-16.33,95,27,10.92,scattered clouds
122,Lakhnadon,IN,22.6,79.6,59.43,28,6,1.79,clear sky
123,Margate,GB,51.3813,1.3862,50.31,80,100,10.0,overcast clouds
124,Namibe,AO,-15.1961,12.1522,71.87,67,90,8.34,overcast clouds
125,Debre Sina,ET,9.85,39.7667,46.87,75,80,1.97,broken clouds
126,Husavik,IS,66.0449,-17.3389,30.11,81,100,22.12,light snow
127,Buraydah,SA,26.326,43.975,43.25,54,0,6.4,clear sky
128,Dakar,SN,14.6937,-17.4441,69.93,94,0,9.22,clear sky
129,Karangampel,ID,-6.4622,108.4519,82.06,77,99,17.94,overcast clouds
130,Thinadhoo,MV,0.5333,72.9333,81.82,71,12,7.09,few clouds
131,Mhlambanyatsi,SZ,-26.45,31.0167,57.15,98,98,4.68,light rain
132,Nossa Senhora Da Gloria,BR,-10.2183,-37.4203,71.17,87,47,6.67,scattered clouds
133,Kigali,RW,-1.95,30.0588,62.08,93,75,0.0,broken clouds
134,Saint Anthony,US,45.0205,-93.218,27.09,73,0,0.0,clear sky
135,La Ciotat,FR,43.1748,5.6045,43.34,64,0,7.99,clear sky
136,Caucaia,BR,-3.7361,-38.6531,82.04,73,20,5.75,few clouds
137,Jamestown,US,42.097,-79.2353,12.33,85,0,5.75,clear sky
138,San Vicente,AR,-26.6167,-54.1333,64.24,95,51,1.14,broken clouds
139,Bethel,US,41.3712,-73.414,19.98,64,0,6.91,clear sky
140,Avarua,CK,-21.2078,-159.775,82.45,74,40,12.66,scattered clouds
141,Bereda,ES,43.2686,-7.5406,37.42,97,60,1.01,broken clouds
142,Flin Flon,CA,54.7682,-101.865,-2.27,98,100,4.18,overcast clouds
143,Leningradskiy,RU,69.3833,178.4167,-21.62,97,18,3.04,few clouds
144,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,20,14.97,few clouds
145,San Angelo,US,31.4638,-100.437,36.64,64,0,1.01,clear sky
146,Coihaique,CL,-45.5752,-72.0662,55.35,76,0,3.44,clear sky
147,Yerbogachen,RU,61.2767,108.0108,12.69,94,100,3.27,light snow
148,Christchurch,NZ,-43.5333,172.6333,61.95,66,100,2.3,overcast clouds
149,Hoi An,VN,15.8794,108.335,73.36,82,98,5.37,overcast clouds
150,Harper,LR,4.375,-7.7169,78.49,87,39,5.19,light rain
151,Beringovskiy,RU,63.05,179.3167,-10.07,94,76,13.15,broken clouds
152,Geraldton,AU,-28.7667,114.6,81.01,61,75,16.24,broken clouds
153,Hamilton,US,39.1834,-84.5333,19.36,87,0,1.01,clear sky
154,Kodiak,US,57.79,-152.4072,38.71,87,100,18.41,moderate rain
155,Castro,BR,-24.7911,-50.0119,64.02,98,99,2.39,overcast clouds
156,Thaba-Tseka,LS,-29.522,28.6084,53.33,89,86,2.26,light rain
157,Mahebourg,MU,-20.4081,57.7,81.25,83,75,12.66,broken clouds
158,Bajram Curri,AL,42.3554,20.0784,40.5,96,92,3.6,overcast clouds
159,Vardo,NO,70.3705,31.1107,26.92,79,100,28.05,overcast clouds
160,Bogalusa,US,30.791,-89.8487,38.7,93,0,0.0,clear sky
161,Kadoma,JP,34.7333,135.5833,42.85,42,40,11.5,scattered clouds
162,Zhovtneve,UA,50.6637,24.2492,29.28,88,84,12.44,broken clouds
163,Salinas,US,36.6777,-121.6555,58.39,59,0,3.44,clear sky
164,Mount Gambier,AU,-37.8333,140.7667,83.97,27,23,6.64,few clouds
165,Watertown,US,42.3709,-71.1828,19.85,59,0,1.01,clear sky
166,Qaanaaq,GL,77.484,-69.3632,-0.94,96,100,2.91,overcast clouds
167,Sioux Lookout,CA,50.1001,-91.917,7.18,85,100,6.91,overcast clouds
168,Souillac,MU,-20.5167,57.5167,81.36,83,75,12.66,broken clouds
169,Rio Grande,BR,-32.035,-52.0986,69.94,70,0,12.73,clear sky
170,Khatanga,RU,71.9667,102.5,-20.94,98,99,6.02,overcast clouds
171,Walvis Bay,NA,-22.9575,14.5053,67.15,88,96,3.44,overcast clouds
