City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-02-04 23:49:38,-9.8,-139.0333,78.4,77,25,16.58
1,Saint-Pierre,RE,2022-02-05 00:00:10,-21.3393,55.4781,80.24,83,75,3.44
2,Ahuimanu,US,2022-02-05 00:00:13,21.4447,-157.8378,80.78,58,1,3.0
3,Albany,US,2022-02-04 23:59:42,42.6001,-73.9662,21.67,86,100,5.1
4,Plettenberg Bay,ZA,2022-02-05 00:00:15,-34.0527,23.3716,62.96,77,78,7.05
5,Bluff,NZ,2022-02-05 00:00:15,-46.6,168.3333,58.8,57,90,5.57
6,Tuktoyaktuk,CA,2022-02-05 00:00:16,69.4541,-133.0374,-20.85,95,19,13.76
7,Juneau,US,2022-02-05 00:00:18,58.3019,-134.4197,36.84,95,100,5.99
8,Talnakh,RU,2022-02-04 23:53:49,69.4865,88.3972,1.2,97,98,6.13
9,Bambous Virieux,MU,2022-02-04 23:53:46,-20.3428,57.7575,79.21,94,75,11.5
10,Llandrindod Wells,GB,2022-02-05 00:00:21,52.2416,-3.3787,40.6,87,34,12.86
11,Goderich,CA,2022-02-05 00:00:21,43.7501,-81.7165,15.91,92,100,7.99
12,Kapaa,US,2022-02-04 23:55:00,22.0752,-159.319,81.12,59,4,1.99
13,Eureka,US,2022-02-04 23:56:12,40.8021,-124.1637,58.75,81,97,5.01
14,Kitimat,CA,2022-02-05 00:00:23,54.0524,-128.6534,42.91,29,100,1.99
15,Butaritari,KI,2022-02-05 00:00:24,3.0707,172.7902,82.58,76,13,19.95
16,Carnarvon,AU,2022-02-04 23:55:06,-24.8667,113.6333,80.67,50,80,8.05
17,Port Alfred,ZA,2022-02-04 23:53:46,-33.5906,26.891,68.61,80,98,6.35
18,Hofn,IS,2022-02-05 00:00:27,64.2539,-15.2082,24.94,64,35,17.36
19,Botwood,CA,2022-02-05 00:00:29,49.1499,-55.3482,18.9,95,100,9.69
20,Faanui,PF,2022-02-04 23:56:11,-16.4833,-151.75,80.71,75,41,14.2
21,Victoria,HK,2022-02-04 23:51:56,22.2855,114.1577,58.24,78,99,4.0
22,Ancud,CL,2022-02-05 00:00:29,-41.8697,-73.8203,61.43,82,81,2.39
23,West Bay,KY,2022-02-04 23:56:42,19.3667,-81.4167,79.07,90,75,6.91
24,Mackay,AU,2022-02-04 23:59:44,-21.15,149.2,83.68,69,40,17.27
25,Sipoo,FI,2022-02-05 00:00:30,60.3775,25.2691,30.85,77,75,17.27
26,Hithadhoo,MV,2022-02-04 23:52:27,-0.6,73.0833,81.55,73,85,11.43
27,Upernavik,GL,2022-02-04 23:56:19,72.7868,-56.1549,-0.45,99,95,5.28
28,Rocha,UY,2022-02-05 00:00:31,-34.4833,-54.3333,66.83,95,18,4.47
29,Hefei,CN,2022-02-05 00:00:32,31.8639,117.2808,33.8,78,1,10.22
30,Jamestown,US,2022-02-04 23:53:48,42.097,-79.2353,18.52,51,100,8.05
31,Rikitea,PF,2022-02-04 23:52:24,-23.1203,-134.9692,79.02,67,5,5.97
32,Tasiilaq,GL,2022-02-04 23:52:22,65.6145,-37.6368,19.63,75,100,39.1
33,Yellowknife,CA,2022-02-04 23:50:43,62.456,-114.3525,-25.58,80,40,3.44
34,Beringovskiy,RU,2022-02-05 00:00:33,63.05,179.3167,-7.74,86,69,11.83
35,Cape Town,ZA,2022-02-05 00:00:06,-33.9258,18.4232,65.08,56,1,8.01
36,Sobolevo,RU,2022-02-05 00:00:34,54.4299,31.8996,-2.63,100,100,4.85
37,Hobart,AU,2022-02-04 23:53:41,-42.8794,147.3294,69.03,71,75,4.61
38,Punta Arenas,CL,2022-02-04 23:52:23,-53.15,-70.9167,53.71,58,0,5.75
39,Nusaybin,TR,2022-02-05 00:00:35,37.0778,41.2178,43.27,84,55,4.63
40,Mataura,NZ,2022-02-04 23:51:09,-46.1927,168.8643,58.48,43,86,3.22
41,Castro,BR,2022-02-05 00:00:36,-24.7911,-50.0119,66.42,98,92,3.78
42,Thompson,CA,2022-02-04 23:49:39,55.7435,-97.8558,-14.64,70,20,5.75
43,Severo-Kurilsk,RU,2022-02-04 23:53:58,50.6789,156.125,30.7,89,96,7.52
44,Povenets,RU,2022-02-05 00:01:37,62.8487,34.8262,3.0,99,100,9.78
45,Lorengau,PG,2022-02-04 23:52:32,-2.0226,147.2712,84.31,64,89,6.02
46,Shetpe,KZ,2022-02-05 00:01:37,44.1667,52.1167,35.94,95,100,7.09
47,Busselton,AU,2022-02-04 23:52:20,-33.65,115.3333,79.61,37,1,2.48
48,Ampanihy,MG,2022-02-05 00:01:38,-24.7,44.75,71.6,89,26,10.8
49,Vestmannaeyjar,IS,2022-02-05 00:01:38,63.4427,-20.2734,33.53,66,100,29.26
50,Georgetown,MY,2022-02-04 23:57:30,5.4112,100.3354,78.73,95,40,1.99
51,Presidente Epitacio,BR,2022-02-05 00:01:39,-21.7633,-52.1156,75.34,86,97,1.7
52,Ahipara,NZ,2022-02-04 23:58:41,-35.1667,173.1667,78.1,72,81,16.58
53,Dikson,RU,2022-02-05 00:01:39,73.5069,80.5464,-1.97,95,100,6.55
54,Adrar,MR,2022-02-05 00:01:39,20.5022,-10.0711,65.5,11,14,9.28
55,Nikolskoye,RU,2022-02-04 23:53:41,59.7035,30.7861,17.8,89,80,11.83
56,Cupira,BR,2022-02-05 00:01:40,-8.6167,-35.95,71.8,83,59,6.91
57,Khatanga,RU,2022-02-04 23:56:14,71.9667,102.5,-36.54,100,80,2.75
58,Palmer,US,2022-02-04 23:57:24,42.1584,-72.3287,31.3,87,100,1.99
59,Touros,BR,2022-02-04 23:54:58,-5.1989,-35.4608,81.5,72,11,12.93
60,Ushuaia,AR,2022-02-04 23:52:14,-54.8,-68.3,53.26,58,0,12.66
61,Sovetskiy,RU,2022-02-05 00:01:41,61.3614,63.5842,4.48,97,100,1.14
62,Matay,EG,2022-02-05 00:01:41,28.419,30.7792,51.24,71,74,10.38
63,Nelson Bay,AU,2022-02-05 00:01:42,-32.7167,152.15,76.28,65,86,4.0
64,Mogadishu,SO,2022-02-04 23:59:30,2.0371,45.3438,75.92,86,56,18.77
65,Zhigansk,RU,2022-02-05 00:01:42,66.7697,123.3711,-30.28,99,99,5.26
66,Saint-Philippe,RE,2022-02-04 23:52:31,-21.3585,55.7679,80.15,86,100,25.41
67,Esperance,AU,2022-02-04 23:54:59,-33.8667,121.9,67.84,61,2,13.44
68,Hamilton,US,2022-02-04 23:52:21,39.1834,-84.5333,24.12,86,100,1.99
69,Ajdabiya,LY,2022-02-05 00:01:43,30.7554,20.2263,52.03,74,0,3.83
70,Leningradskiy,RU,2022-02-05 00:01:44,69.3833,178.4167,-14.35,91,65,9.17
71,Manokwari,ID,2022-02-05 00:01:44,-0.8667,134.0833,81.63,71,100,6.02
72,Qaanaaq,GL,2022-02-04 23:52:26,77.484,-69.3632,0.05,70,100,7.25
73,Vaini,TO,2022-02-04 23:52:17,-21.2,-175.2,77.16,100,100,11.5
74,Lebu,CL,2022-02-04 23:52:21,-37.6167,-73.65,58.35,85,2,16.78
75,Ust-Karsk,RU,2022-02-05 00:01:45,52.7011,118.8077,-10.1,98,100,2.17
76,Hermanus,ZA,2022-02-04 23:52:28,-34.4187,19.2345,63.9,69,1,18.5
77,Bodden Town,KY,2022-02-05 00:01:45,19.2833,-81.25,78.01,81,15,1.99
78,Torbay,CA,2022-02-05 00:00:24,47.6666,-52.7314,32.76,96,100,10.33
79,Taoudenni,ML,2022-02-05 00:01:46,22.6783,-3.9836,66.6,13,74,10.18
80,Nanortalik,GL,2022-02-04 23:53:46,60.1432,-45.2371,11.55,70,100,38.39
81,Avarua,CK,2022-02-04 23:52:28,-21.2078,-159.775,82.45,78,20,16.11
82,Barcelos,PT,2022-02-05 00:01:46,41.5388,-8.6151,50.85,89,86,4.61
83,Comodoro Rivadavia,AR,2022-02-05 00:01:47,-45.8667,-67.5,57.7,64,11,11.43
84,Hasaki,JP,2022-02-04 23:57:41,35.7333,140.8333,39.6,37,39,22.84
85,Mosjoen,NO,2022-02-05 00:01:47,65.836,13.1908,37.4,91,98,8.3
86,Meulaboh,ID,2022-02-05 00:01:48,4.1363,96.1285,74.52,89,100,4.38
87,Souillac,MU,2022-02-04 23:53:42,-20.5167,57.5167,79.36,94,75,11.5
88,Yarkovo,RU,2022-02-05 00:01:48,57.4028,67.0786,21.49,89,100,7.34
89,Remedios,CU,2022-02-05 00:01:49,22.4947,-79.5458,73.96,75,26,13.22
90,Acajutla,SV,2022-02-05 00:02:49,13.5928,-89.8275,82.8,71,27,9.93
91,Sunrise Manor,US,2022-02-05 00:02:49,36.2111,-115.0731,58.21,18,0,13.8
92,Samarkand,UZ,2022-02-05 00:00:14,39.6542,66.9597,38.62,38,17,6.91
93,Arraial Do Cabo,BR,2022-02-05 00:02:50,-22.9661,-42.0278,76.66,87,95,21.39
94,Albanel,CA,2022-02-05 00:02:50,48.8832,-72.4487,-3.69,89,93,5.88
95,Kirakira,SB,2022-02-05 00:02:51,-10.4544,161.9205,83.7,78,98,7.07
96,College,US,2022-02-05 00:02:51,64.8569,-147.8028,6.8,61,75,5.75
97,Sooke,CA,2022-02-05 00:02:52,48.3746,-123.7276,51.58,95,100,13.89
98,Dhadar,IN,2022-02-05 00:02:52,28.3305,75.0632,50.92,68,0,7.18
99,Antalaha,MG,2022-02-05 00:02:52,-14.9003,50.2788,76.28,81,100,4.54
100,Batemans Bay,AU,2022-02-05 00:00:33,-35.7167,150.1833,70.2,76,93,10.63
101,Craigieburn,AU,2022-02-05 00:02:53,-37.6,144.95,74.57,58,20,3.44
102,Geraldton,AU,2022-02-05 00:02:53,-28.7667,114.6,92.12,16,0,10.36
103,Praia Da Vitoria,PT,2022-02-05 00:02:54,38.7333,-27.0667,57.76,92,94,10.85
104,Poso,ID,2022-02-05 00:02:54,-1.3959,120.7524,81.23,72,100,1.14
105,Quatre Cocos,MU,2022-02-05 00:02:55,-20.2078,57.7625,79.09,86,98,17.07
106,Broken Hill,AU,2022-02-05 00:01:38,-31.95,141.4333,74.14,40,85,18.03
107,Sinnamary,GF,2022-02-05 00:02:55,5.3833,-52.95,76.39,88,97,8.59
108,Jumla,NP,2022-02-05 00:02:55,29.2747,82.1838,15.75,87,66,7.09
109,Lompoc,US,2022-02-05 00:02:56,34.6391,-120.4579,67.21,34,0,10.36
110,Liverpool,GB,2022-02-05 00:00:26,53.4106,-2.9779,42.82,80,40,8.99
111,Fortuna,US,2022-02-05 00:02:56,40.5982,-124.1573,60.42,85,0,1.01
112,Mugan,CN,2022-02-05 00:02:57,35.9404,101.3842,15.67,79,92,6.49
113,New Norfolk,AU,2022-02-05 00:02:57,-42.7826,147.0587,65.75,59,45,1.01
114,Bulungu,CD,2022-02-05 00:02:57,-4.55,18.6,68.79,97,99,0.87
115,Hobyo,SO,2022-02-05 00:02:58,5.3505,48.5268,75.2,72,14,14.74
116,Puerto Ayora,EC,2022-02-05 00:02:58,-0.7393,-90.3518,76.55,91,81,3.0
117,Kaitangata,NZ,2022-02-05 00:02:58,-46.2817,169.8464,58.39,48,91,5.46
118,Luderitz,NA,2022-02-05 00:01:02,-26.6481,15.1594,67.17,74,9,4.18
119,Gizo,SB,2022-02-05 00:02:59,-8.103,156.8419,84.43,75,100,12.06
120,Port Elizabeth,ZA,2022-02-05 00:02:48,-33.918,25.5701,65.1,74,100,5.99
121,Flin Flon,CA,2022-02-05 00:03:00,54.7682,-101.865,-10.21,93,100,3.98
122,Mahebourg,MU,2022-02-05 00:03:00,-20.4081,57.7,79.25,86,100,18.81
123,Pisco,PE,2022-02-05 00:03:00,-13.7,-76.2167,67.01,88,13,4.88
124,Bentong,MY,2022-02-05 00:03:01,3.5181,101.9079,73.44,97,51,1.61
125,Samur,RU,2022-02-05 00:03:01,41.8253,48.486,42.33,84,97,14.97
126,Karratha,AU,2022-02-05 00:03:02,-20.7377,116.8463,87.8,61,91,11.07
127,Los Llanos De Aridane,ES,2022-02-05 00:03:02,28.6585,-17.9182,58.75,80,0,7.0
128,Zatoka,UA,2022-02-05 00:03:02,46.0725,30.4654,34.34,67,95,4.0
129,Bredasdorp,ZA,2022-02-05 00:03:03,-34.5322,20.0403,63.28,60,45,14.74
130,Bosaso,SO,2022-02-05 00:03:03,11.2842,49.1816,72.46,54,5,4.0
131,Casa Nova,BR,2022-02-04 23:58:21,-9.4167,-41.1333,76.98,50,90,7.29
132,Cockburn Town,TC,2022-02-05 00:03:04,21.4612,-71.1419,75.99,75,0,18.05
133,Aykhal,RU,2022-02-05 00:03:04,66.0,111.5,-26.16,100,86,4.41
134,Barth,DE,2022-02-05 00:03:05,54.3635,12.7249,40.08,72,100,23.26
135,Cap-Aux-Meules,CA,2022-02-05 00:03:05,47.3821,-61.8597,22.71,92,100,33.44
